,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
v0__0_0,567.29443,4.7983937,0.05610166192054748,557.5421752929688,576.6226196289062,6918.0,0.9998583197593689
v0__1_0,569.9311,4.752278,0.06259848475456238,560.6834106445312,579.6192626953125,6472.0,1.0003081560134888
v0__2_0,571.60535,4.6106668,0.0557917058467865,562.9964599609375,581.0494995117188,6464.0,1.0005834102630615
A__0_0,0.15504465,0.12222856,0.001475637312978506,0.00011589464702410623,0.3941057324409485,6573.0,1.0004017353057861
A__1_0,0.16037996,0.12407872,0.001569472625851631,2.5812874810071662e-05,0.4028756022453308,7225.0,1.0000624656677246
A__2_0,0.15717705,0.12405208,0.0015231040306389332,0.00013893345021642745,0.39784032106399536,6402.0,0.9998506903648376
L__0_0,5.8042984,71.659805,0.9476895332336426,0.00010413447307655588,12.15896987915039,5410.0,0.9998027086257935
L__1_0,4.5031724,50.67473,0.8235319137573243,0.00020199666323605925,10.991575241088867,3739.0,1.000894546508789
L__2_0,4.973088,37.581406,0.5607694149017334,0.00022355708642862737,13.266746520996094,4300.0,1.0006680488586426
e,47.601727,1.3319029,0.016290244460105897,44.953731536865234,50.20259094238281,5393.0,0.9999558949196495
