,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
a__0_0,15.147253,0.46802264,0.002423098497092724,14.218605041503906,16.05609893798828,41402.0,1.0000078678131104
a__1_0,60.966274,0.3571881,0.002122283913195133,60.2613410949707,61.662113189697266,32549.0,1.0000157356262207
a__2_0,59.218296,0.48717827,0.0028007177636027334,58.28828811645508,60.2020378112793,33702.0,1.0001060962677002
b__0_0,29.768646,1.66549,0.008456330746412277,26.592037200927734,33.091190338134766,44216.0,1.0000096559524536
b__1_0,146.55396,1.3551664,0.008383211493492127,143.86424255371094,149.17098999023438,30622.0,1.0000439882278442
b__2_0,514.7351,9.874024,0.0572050929069519,495.30023193359375,534.0223388671875,31359.0,1.0000090599060059
s,42.583595,0.9647428,0.004884443432092667,40.68870544433594,44.472137451171875,36553.0,0.9999941316481444
W,7.808112,0.011399474,5.123498267494142e-05,7.785945415496826,7.830564975738525,48000.0,1.0000088535590625
H0,29.829527,0.37099352,0.0019313175231218337,29.118810653686523,30.568490982055664,32387.0,0.9999746416977496
v_max,542.1458,0.830575,0.004283538833260536,540.4905395507812,543.72900390625,48000.0,1.0001078483675143
e,0.97302806,0.007476495,3.5691951052285734e-05,0.9586387872695923,0.9879853129386902,48000.0,1.0000385321715892
